ticker,last_price,ret_6m,ret_3m,price_vs_ma50,price_vs_ma150,atr_pct,dollar_vol,trend_raw,trend_score,volatility_score,liquidity_score,total_score
9988.HK,155.0,0.3293310637083897,0.19414481013682017,-0.04821556196489918,0.14512275993385537,0.03207372849987399,15256126012.290813,0.19484503212480767,97.09277809961995,72.20704222878027,100.0,92.98779749556603
1928.HK,21.399999618530273,0.38421730696808365,0.0951892843323714,0.04918416689521976,0.13623087650761012,0.028504670094826677,273655028.2687826,0.20570362911674986,100.0,54.26066510799832,0.0,60.85213302159966
2318.HK,60.45000076293945,0.3227571062090999,0.08625335319763483,0.07769379563432399,0.13615718808198096,0.022037104207133687,2208810083.7260704,0.18413332637799334,94.22488406499703,21.73965723939648,12.916127503407301,55.3352117314
0700.HK,610.0,0.18446601941747565,0.029535864978903037,-0.04195002434389283,0.057003078593665935,0.02031615925058548,9656853868.775,0.07995747025124919,66.33340502334403,13.086190781508018,62.62784590414275,54.57229443921644
2313.HK,64.5,0.20673524937949606,0.08403361344537807,-0.03064368398604167,0.06657994218299068,0.03372092262851044,366659374.3068882,0.10843344120650258,73.95740713495492,80.48966573021764,0.6207543878262107,53.262863029868846
1299.HK,78.30000305175781,0.16778522726264167,0.08750004238552522,0.023837270379037934,0.08427232606546764,0.023216569591058066,1802298976.2654133,0.10655879030306858,73.45549826347964,27.670389712387255,10.202882752964076,45.3226919001065
1810.HK,42.779998779296875,-0.1943502823235257,-0.19962585278466116,-0.06616317181379394,-0.16940105272698047,0.037601010628567764,8869146253.182026,-0.16780060840026548,0.0,100.0,57.370317847302054,37.21109535419062
0939.HK,7.980000019073486,0.09615381718286575,0.05138338058565406,0.015008903796706052,0.031345315883004155,0.019692081338790062,1880674972.9108987,0.06001285339648415,60.99354141500775,9.948125699134511,10.726000713473187,35.704196061372734
2388.HK,37.34000015258789,0.09181284560236236,0.011924081531552222,-0.007928072459496449,0.028859879207146832,0.017713662998307966,381933730.11608374,0.041602736129226,56.06451640858611,0.0,0.7227025633006353,28.249068973283244
3690.HK,99.05000305175781,-0.3009879662316638,-0.023175527009448138,-0.015613017749187552,-0.14981700426369504,0.031802123562978526,4621615863.999765,-0.145452148571707,5.983455496282122,70.84132498007989,29.020318746939942,25.86608836823902
